Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,40.79,40.79,40.79,40.79,0,39.910059999999994
2014-01-02,40.79,41.21,40.4,41.04,1704700,40.15466
2014-01-03,41.04,41.25,40.4,40.95,820300,40.06661
2014-01-06,41.57,41.9,41.18,41.7,1153800,40.80043
2014-01-07,41.7,42.5,41.67,42.49,1020800,41.57338
2014-01-08,42.41,42.6,41.83,42.09,1370600,41.18201
2014-01-09,41.81,42.5,41.8,42.15,1583700,41.24072
2014-01-10,42.6,42.6,42.34,42.57,853100,41.65166
2014-01-13,42.55,42.7,42.36,42.63,1662800,41.710359999999994
2014-01-14,42.7,42.85,42.5,42.56,2703300,41.641870000000004
2014-01-15,42.6,42.8,42.49,42.76,1716800,41.837559999999996
2014-01-16,42.76,42.76,42.33,42.57,540000,41.65166
2014-01-17,42.57,42.8,42.22,42.56,1249000,41.641870000000004
2014-01-20,42.35,42.95,42.07,42.62,360300,41.70058
2014-01-21,42.65,43.4,42.6,42.78,2586600,41.85713
2014-01-22,43.4,43.4,42.2,42.33,2086400,41.41684
2014-01-23,42.23,42.33,41.67,42.05,1267600,41.14287
2014-01-24,41.67,41.67,40.27,40.48,2642800,39.60674
2014-01-27,40.32,40.32,39.05,39.87,3219700,39.0099
2014-01-28,39.87,40.16,39.69,39.75,1677600,38.89249
2014-01-29,39.55,39.62,38.76,39.2,3106200,38.35436
2014-01-30,39.0,39.96,39.0,39.49,2136700,38.6381
2014-01-31,39.4,40.19,39.4,39.9,1706300,39.03926
2014-02-03,39.9,39.9,39.9,39.9,0,39.03926
2014-02-04,39.1,40.2,39.1,39.52,7442800,38.66745
2014-02-05,39.34,39.34,37.21,37.89,3381200,37.07262
2014-02-06,38.26,39.0,37.64,38.81,2186700,37.972770000000004
2014-02-07,38.87,39.3,37.53,37.86,1805000,37.04326
2014-02-10,37.67,38.49,37.51,38.28,902700,37.4542
2014-02-11,38.4,39.65,38.1,39.6,2340300,38.74573
2014-02-12,39.65,39.65,38.73,39.4,1924700,38.55004
2014-02-13,39.59,39.59,38.53,38.75,842000,37.91406
2014-02-14,39.6,41.99,39.59,41.75,5393400,40.84935
2014-02-17,41.75,41.83,40.47,41.33,445500,40.43841
2014-02-18,41.4,41.77,40.58,41.02,1636800,40.1351
2014-02-19,40.95,41.29,40.5,40.88,1919700,39.99812
2014-02-20,40.86,41.38,40.44,41.09,2514700,40.20358
2014-02-21,40.85,41.25,40.57,41.2,796300,40.311209999999996
2014-02-24,41.2,42.25,41.17,41.38,2023100,40.48733
2014-02-25,41.2,41.7,40.55,41.24,1249800,40.35035
2014-02-26,41.5,41.5,40.13,40.54,3091100,39.66545
2014-02-27,40.74,40.97,39.94,40.91,1700700,40.02747
2014-02-28,40.18,41.42,40.18,41.08,792800,40.1938
2014-03-03,40.9,41.3,40.0,40.15,3643800,39.28386
2014-03-04,40.9,41.0,40.28,40.83,1374500,39.9492
2014-03-05,40.8,40.8,39.9,40.36,775800,39.489329999999995
2014-03-06,40.23,41.98,40.15,40.45,2487500,39.57739
2014-03-07,40.53,40.91,39.97,40.12,1141800,39.254509999999996
2014-03-10,40.32,40.5,38.06,39.15,1206700,38.305440000000004
2014-03-11,39.48,40.5,39.44,39.57,974400,38.71637
2014-03-12,39.7,40.8,39.7,40.54,2216300,39.66545
2014-03-13,40.55,41.2,39.52,41.0,1292200,40.11553
2014-03-14,41.0,41.75,40.11,41.61,976100,40.71237
2014-03-17,41.61,41.61,41.61,41.61,0,40.71237
2014-03-18,41.45,43.68,41.32,43.02,2870200,42.09195
2014-03-19,43.35,45.47,43.11,44.59,2097400,43.62808
2014-03-20,44.55,46.14,44.06,45.95,2073000,44.95874
2014-03-21,45.95,47.6,45.95,47.29,3547100,46.26984
2014-03-24,47.26,47.5,45.48,45.73,1419600,44.74349
2014-03-25,45.98,46.87,45.5,46.7,1705400,45.69256
2014-03-26,46.87,47.49,45.96,46.38,1394200,45.37947
2014-03-27,46.01,47.5,46.0,47.45,736700,46.42638
2014-03-28,47.5,47.9,47.07,47.39,2141900,46.36768
2014-03-31,47.21,47.97,46.63,47.5,1643600,46.4753
2014-04-01,47.26,47.72,46.59,47.37,597600,46.34811
2014-04-02,47.01,47.87,46.9,47.8,1665000,46.76883
2014-04-03,48.0,48.0,46.99,47.3,1734000,46.27962
2014-04-04,47.76,47.99,47.63,47.88,2139600,46.84711
2014-04-07,47.64,48.0,46.9,47.0,420900,45.986090000000004
2014-04-08,46.9,47.79,46.06,46.23,2111600,45.2327
2014-04-09,46.61,46.82,46.23,46.63,836600,45.62407
2014-04-10,46.9,47.1,46.2,46.29,2696100,45.29141
2014-04-11,46.25,46.84,45.27,46.46,801900,45.45774
2014-04-14,46.83,46.85,46.46,46.61,354000,45.6045
2014-04-15,46.84,46.85,46.29,46.74,679400,45.7317
2014-04-16,46.82,47.0,46.58,46.72,370900,45.71213
2014-04-17,46.72,46.72,46.72,46.72,0,45.71213
2014-04-18,46.72,46.72,46.72,46.72,0,45.71213
2014-04-21,46.62,47.1,46.5,46.61,382000,45.6045
2014-04-22,46.58,46.85,46.18,46.82,699200,45.80997
2014-04-23,46.78,46.78,46.0,46.28,710900,45.281620000000004
2014-04-24,46.04,46.52,45.97,46.09,1269100,45.09572
2014-04-25,46.0,46.0,45.11,45.5,1476500,44.51845
2014-04-28,45.6,46.68,45.6,46.23,814900,45.2327
2014-04-29,46.3,46.74,45.98,46.57,303300,45.56537
2014-04-30,46.5,46.5,43.95,45.19,3155000,44.215140000000005
2014-05-01,45.19,45.19,45.19,45.19,0,44.215140000000005
2014-05-02,45.2,45.99,44.5,44.77,2814500,43.8042
2014-05-05,44.75,44.75,43.66,44.01,1393900,43.060590000000005
2014-05-06,44.1,44.1,42.79,42.86,3119200,41.9354
2014-05-07,42.86,43.8,42.86,43.54,2722800,42.60073
2014-05-08,43.6,43.6,43.0,43.15,1295200,42.21915
2014-05-09,43.4,43.99,43.09,43.75,1386900,42.8062
2014-05-12,43.6,44.0,43.5,43.86,1446100,42.91383
2014-05-13,43.9,45.15,43.61,45.04,2853300,44.06837
2014-05-14,45.04,45.04,44.4,44.72,1568600,43.75528
2014-05-15,44.5,44.51,43.82,44.08,842800,43.12908
2014-05-16,43.69,44.29,43.11,43.93,1137800,42.98232
2014-05-19,44.0,44.55,43.93,44.5,627200,43.54002
2014-05-20,44.63,44.63,43.8,43.8,885500,42.85512
2014-05-21,44.1,44.44,43.78,44.19,1227100,43.236709999999995
2014-05-22,44.25,44.75,44.0,44.68,2135400,43.71614
2014-05-23,44.75,44.8,44.6,44.66,1131600,43.69657
2014-05-26,44.66,44.93,44.57,44.86,947600,43.89226
2014-05-27,44.86,45.1,44.65,44.99,2382800,44.01945
2014-05-28,45.1,45.15,44.65,44.87,1429100,43.90204
2014-05-29,45.0,45.15,43.71,43.99,2591000,43.04103
2014-05-30,43.7,44.4,43.5,43.83,2932500,42.884479999999996
2014-06-02,43.62,44.97,43.62,44.82,1184100,43.853120000000004
2014-06-03,44.85,44.95,44.06,44.57,1141500,43.608509999999995
2014-06-04,44.2,44.8,44.13,44.56,682100,43.598729999999996
2014-06-05,44.85,45.14,44.85,44.95,918800,43.98032
2014-06-06,45.15,45.5,45.1,45.45,1549800,44.46953
2014-06-09,45.49,45.51,45.2,45.31,577200,44.33255
2014-06-10,45.5,45.55,44.87,44.99,683600,44.01945
2014-06-11,45.44,47.3,45.41,46.69,3307500,45.68278
2014-06-12,46.9,48.42,46.68,47.8,1752300,46.76883
2014-06-13,47.9,48.4,47.21,47.55,2405900,46.524229999999996
2014-06-16,47.78,47.83,46.82,47.11,1236400,46.093720000000005
2014-06-17,47.2,47.5,47.02,47.25,818700,46.2307
2014-06-18,47.5,47.78,47.19,47.55,1169300,46.524229999999996
2014-06-19,47.55,47.95,47.45,47.93,1601500,46.896029999999996
2014-06-20,47.95,47.95,47.0,47.27,5403400,46.25027
2014-06-23,47.11,47.11,46.01,46.16,3191000,45.16421
2014-06-24,46.25,46.8,45.7,46.12,4769600,45.12507
2014-06-25,47.0,47.59,46.32,46.5,58575400,45.49688
2014-06-26,46.69,46.86,46.01,46.05,2534300,45.05658
2014-06-27,46.03,47.4,45.95,47.21,12979600,46.191559999999996
2014-06-30,47.0,47.07,46.61,46.67,1693500,45.66321
2014-07-01,47.0,47.6,46.51,47.48,3828300,46.455740000000006
2014-07-02,47.41,47.69,47.25,47.53,1567100,46.50466
2014-07-03,47.64,47.74,47.13,47.45,2653200,46.42638
2014-07-04,47.21,47.6,47.21,47.35,302100,46.328540000000004
2014-07-07,47.58,47.63,47.2,47.53,3472700,46.50466
2014-07-08,47.4,48.0,47.2,47.98,2390500,46.94495
2014-07-09,48.0,48.1,47.52,48.0,1566400,46.96452
2014-07-10,47.67,47.84,46.81,47.66,2028200,46.63185
2014-07-11,47.93,47.93,47.15,47.27,1131800,46.25027
2014-07-14,47.7,47.7,46.23,46.86,3565500,45.849109999999996
2014-07-15,47.09,47.17,46.41,46.63,1913500,45.62407
2014-07-16,47.0,47.05,46.28,46.5,2658200,45.49688
2014-07-17,46.3,46.7,45.27,45.71,4892600,44.72392
2014-07-18,46.09,47.15,45.41,46.85,1699300,45.83933
2014-07-21,46.85,47.0,46.65,46.67,515600,45.66321
2014-07-22,46.3,46.62,45.76,46.02,2806700,45.027229999999996
2014-07-23,46.49,46.49,45.95,46.01,1712400,45.01745
2014-07-24,46.41,46.41,45.56,46.1,2535800,45.1055
2014-07-25,46.33,46.5,45.83,46.41,1702100,45.40882
2014-07-28,46.69,46.69,45.75,45.98,1646900,44.98809
2014-07-29,46.44,46.44,45.73,46.19,1160900,45.19356
2014-07-30,45.82,46.27,45.75,45.78,2495600,44.79241
2014-07-31,45.8,46.2,44.86,44.99,2135500,44.01945
2014-08-01,44.9,45.8,44.51,44.82,2503400,43.853120000000004
2014-08-04,45.28,46.0,44.99,45.18,1712000,44.20535
2014-08-05,45.7,45.7,43.07,43.47,8673800,42.53224
2014-08-06,43.36,44.25,43.16,44.08,9700600,43.12908
2014-08-07,44.2,44.2,43.3,43.58,4004600,42.63987
2014-08-08,43.8,44.25,43.75,44.16,6584700,43.207359999999994
2014-08-11,44.11,44.11,43.53,43.89,7794200,42.94318
2014-08-12,43.89,44.0,43.68,43.76,2798100,42.815979999999996
2014-08-13,43.78,44.0,43.57,43.61,1802100,42.66922
2014-08-14,43.6,43.65,43.0,43.37,3319000,42.4344
2014-08-15,43.25,43.96,43.15,43.7,6131600,42.75728
2014-08-18,43.96,44.3,43.43,44.14,1699400,43.18779
2014-08-19,44.24,44.24,43.81,44.05,3763900,43.09973
2014-08-20,44.17,44.4,44.0,44.35,2178400,43.39326
2014-08-21,44.35,45.75,44.34,45.21,5197400,44.23471
2014-08-22,45.32,45.52,45.1,45.36,2595000,44.38147
2014-08-25,45.4,45.65,45.1,45.21,1086800,44.23471
2014-08-26,45.46,45.49,44.61,45.1,5930300,44.12708
2014-08-27,45.43,45.43,45.0,45.04,3620600,44.06837
2014-08-28,45.0,45.5,45.0,45.49,3657300,44.50867
2014-08-29,45.34,45.53,45.0,45.11,11383100,44.13686
2014-09-01,45.05,45.65,44.8,45.27,563000,44.293409999999994
2014-09-02,45.51,45.99,45.27,45.97,2535700,44.97831
2014-09-03,45.95,46.4,45.3,46.09,2209800,45.09572
2014-09-04,45.87,46.26,45.42,45.61,2468700,44.62608
2014-09-05,45.6,45.8,45.19,45.3,1492900,44.322759999999995
2014-09-08,45.25,45.25,45.05,45.11,394800,44.13686
2014-09-09,45.06,45.25,44.05,44.33,2044400,43.37369
2014-09-10,44.4,44.75,43.8,44.63,1755900,43.66722
2014-09-11,44.59,44.74,44.01,44.62,1095200,43.65743
2014-09-12,44.3,44.46,44.03,44.12,719600,43.16822
2014-09-15,44.19,44.57,44.1,44.44,513300,43.481320000000004
2014-09-16,44.44,44.44,44.44,44.44,0,43.481320000000004
2014-09-17,44.35,44.68,43.76,44.33,2120000,43.37369
2014-09-18,44.49,44.49,43.93,44.05,2232900,43.09973
2014-09-19,43.95,44.21,43.7,43.88,2137000,42.9334
2014-09-22,44.04,44.05,43.53,43.77,7500400,42.82577
2014-09-23,43.7,43.99,43.59,43.77,2717500,42.82577
2014-09-24,44.05,44.05,43.57,43.66,1327200,42.718140000000005
2014-09-25,43.66,43.7,43.3,43.33,2866400,42.39526
2014-09-26,43.26,43.45,43.0,43.26,1315200,42.32677
2014-09-29,43.35,43.36,42.9,42.98,1070900,42.05281
2014-09-30,42.98,42.98,41.89,42.49,3706500,41.57338
2014-10-01,42.49,43.08,42.2,42.55,2360500,41.632090000000005
2014-10-02,42.55,43.23,42.2,43.18,737900,42.2485
2014-10-03,43.06,43.13,42.45,42.59,2216000,41.67123
2014-10-06,42.74,43.0,42.07,42.12,752900,41.21136
2014-10-07,42.12,42.53,41.6,41.96,1260600,41.05482
2014-10-08,41.88,41.99,40.67,40.93,4414600,40.04704
2014-10-09,40.93,40.97,40.0,40.23,2751000,39.362140000000004
2014-10-10,40.0,40.0,38.06,38.71,4590000,37.87493
2014-10-13,38.85,39.09,38.11,38.32,2292900,37.49334
2014-10-14,38.32,39.08,38.2,38.96,4305300,38.11953
2014-10-15,38.68,38.93,38.06,38.52,2735700,37.689029999999995
2014-10-16,38.4,38.45,37.87,38.04,4399400,37.21938
2014-10-17,38.59,39.26,38.2,39.09,5730100,38.24673
2014-10-20,38.89,39.35,38.68,39.15,2409600,38.305440000000004
2014-10-21,39.15,40.7,39.15,40.41,5396400,39.53825
2014-10-22,40.64,40.68,40.05,40.4,2174500,39.52847
2014-10-23,40.51,40.8,39.7,40.24,2696100,39.37192
2014-10-24,40.04,40.72,40.03,40.17,2892800,39.30343
2014-10-27,40.17,40.17,39.91,39.96,1078500,39.09796
2014-10-28,40.5,41.48,39.99,41.33,4879300,40.43841
2014-10-29,41.0,41.7,41.0,41.5,3752600,40.60474
2014-10-30,41.25,41.72,41.25,41.55,1491000,40.653659999999995
2014-10-31,41.7,42.22,41.29,42.06,2423400,41.15266
2014-11-03,42.18,42.5,41.27,42.24,1558600,41.32878
2014-11-04,42.1,42.5,41.6,42.3,1308800,41.38748
2014-11-05,42.38,42.98,41.8,42.67,2175000,41.7495
2014-11-06,42.49,43.41,42.11,43.15,2034200,42.21915
2014-11-07,43.22,43.5,42.8,42.9,1589200,41.974540000000005
2014-11-10,42.69,43.5,42.3,43.25,2312700,42.316990000000004
2014-11-11,43.02,43.24,42.1,42.4,1752600,41.48533
2014-11-12,42.1,42.88,41.41,41.54,2184900,40.643879999999996
2014-11-13,41.8,42.6,40.44,42.36,1545600,41.44619
2014-11-14,42.2,42.72,40.22,41.31,1376900,40.41884
2014-11-17,41.31,41.31,41.31,41.31,0,40.41884
2014-11-18,41.0,41.01,40.52,40.67,1225300,39.792640000000006
2014-11-19,40.5,41.64,40.5,41.3,1867500,40.40905
2014-11-20,41.4,42.13,41.4,41.85,810800,40.94719
2014-11-21,42.16,42.6,42.11,42.45,1651300,41.53425
2014-11-24,42.67,43.01,42.41,42.81,1191400,41.88648
2014-11-25,42.5,42.97,42.09,42.59,1054600,41.67123
2014-11-26,42.6,42.95,42.29,42.56,2698800,41.641870000000004
2014-11-27,42.58,42.85,42.19,42.22,1159100,41.30921
2014-11-28,42.15,43.47,42.0,43.0,5137200,42.072379999999995
2014-12-01,42.56,42.9,41.5,42.66,2006100,41.73972
2014-12-02,41.52,43.2,41.51,42.01,1684700,41.10374
2014-12-03,42.03,42.03,41.02,41.15,1335600,40.26229
2014-12-04,41.0,41.7,40.51,40.77,1452100,39.89049
2014-12-05,40.98,41.96,40.64,41.79,954200,40.88848
2014-12-08,41.79,42.29,40.8,41.14,913500,40.25251
2014-12-09,41.1,41.1,39.82,40.97,1598500,40.08617
2014-12-10,41.01,41.53,39.7,39.94,2028100,39.07839
2014-12-11,39.9,41.19,39.6,40.92,2807400,40.03725
2014-12-12,40.92,40.92,40.92,40.92,0,40.03725
2014-12-15,40.71,41.34,38.67,38.8,200200,37.962990000000005
2014-12-16,39.0,39.44,37.15,38.26,2738300,37.43463
2014-12-17,39.0,39.5,37.73,38.44,5790300,37.61075
2014-12-18,38.73,41.9,38.72,41.11,4233300,40.22315
2014-12-19,41.29,41.48,40.3,40.63,1457000,39.75351
2014-12-22,40.3,41.43,40.3,40.95,354400,40.06661
2014-12-23,40.94,41.15,40.44,40.97,801500,40.08617
2014-12-24,40.95,41.5,40.36,41.07,535200,40.184020000000004
2014-12-25,41.07,41.07,41.07,41.07,0,40.184020000000004
2014-12-26,41.05,41.38,40.83,40.97,199000,40.08617
2014-12-29,41.1,41.22,40.46,40.95,352400,40.06661
2014-12-30,40.7,41.1,40.53,40.69,1314200,39.81221
2014-12-31,40.94,41.0,40.5,40.77,1058500,39.89049
2015-01-01,40.77,40.77,40.77,40.77,0,39.89049
2015-01-02,40.35,41.2,39.42,39.9,1768500,39.03926
2015-01-05,39.9,39.9,38.69,39.0,2773100,38.15867
2015-01-06,39.02,40.09,39.02,39.65,9218600,38.79465
2015-01-07,39.67,41.99,39.67,41.3,6830300,40.40905
2015-01-08,41.28,42.1,41.24,41.75,869000,40.84935
2015-01-09,41.73,41.73,40.54,41.06,1367400,40.17423
2015-01-12,40.93,40.93,40.49,40.6,982100,39.72415
2015-01-13,40.52,41.01,40.16,40.48,1470600,39.60674
2015-01-14,40.71,40.71,39.52,39.61,1742200,38.75551
2015-01-15,39.8,39.82,38.95,39.43,1727200,38.5794
2015-01-16,39.05,39.61,38.83,39.13,1852100,38.28587
2015-01-19,38.91,39.21,38.63,38.95,387200,38.10975
2015-01-20,39.19,39.63,38.72,39.45,1708900,38.59896
2015-01-21,39.6,39.94,39.4,39.54,2115400,38.687020000000004
2015-01-22,39.56,40.49,39.56,40.29,2490600,39.420840000000005
2015-01-23,40.1,41.4,40.1,41.1,2115600,40.21337
2015-01-26,41.06,41.7,40.83,41.45,1134100,40.555820000000004
2015-01-27,41.36,41.69,40.8,41.37,917400,40.477540000000005
2015-01-28,41.3,41.5,40.99,41.2,3100200,40.311209999999996
2015-01-29,40.5,41.8,40.5,41.66,2156400,40.76129
2015-01-30,41.5,41.5,39.92,40.12,905600,39.254509999999996
2015-02-02,40.12,40.12,40.12,40.12,0,39.254509999999996
2015-02-03,40.2,40.76,39.9,40.11,1998300,39.24473
2015-02-04,40.27,40.36,39.53,40.06,2430100,39.195809999999994
2015-02-05,40.5,40.5,40.0,40.22,1344000,39.35235
2015-02-06,40.15,41.8,40.15,41.67,2813600,40.77107
2015-02-09,41.45,41.45,40.56,40.99,718100,40.105740000000004
2015-02-10,41.02,42.5,41.02,41.44,1318100,40.54603
2015-02-11,41.0,41.78,40.8,41.17,1545900,40.281859999999995
2015-02-12,40.95,42.0,40.95,41.79,681400,40.88848
2015-02-13,41.58,41.84,41.02,41.72,651500,40.82
2015-02-16,41.5,41.74,41.5,41.58,219200,40.68302
2015-02-17,41.56,41.7,41.0,41.66,1048100,40.76129
2015-02-18,41.53,42.37,41.5,41.94,1310500,41.03525
2015-02-19,41.51,42.98,41.51,42.78,1388100,41.85713
2015-02-20,42.33,43.0,42.24,42.65,1161100,41.729929999999996
2015-02-23,42.51,43.6,42.51,43.47,2192300,42.53224
2015-02-24,43.5,44.3,43.38,44.22,2306700,43.266059999999996
