Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,149.07,149.07,149.07,149.07,0,148.45
2014-01-02,150.5,150.5,147.52,149.86,116400,149.24
2014-01-03,147.75,149.69,145.45,147.7,137100,147.09
2014-01-06,149.7,149.7,142.43,143.52,263200,142.92
2014-01-07,142.8,144.33,142.42,142.76,162400,142.17
2014-01-08,142.6,144.42,142.12,142.97,343900,142.38
2014-01-09,142.0,143.13,141.5,142.28,423300,141.69
2014-01-10,142.0,147.0,142.0,145.15,674000,144.55
2014-01-13,145.31,145.31,142.62,143.68,228400,143.08
2014-01-14,142.6,144.83,142.6,143.66,297800,143.06
2014-01-15,145.0,146.9,142.85,146.62,644500,146.01
2014-01-16,146.99,146.99,143.0,143.29,327000,142.7
2014-01-17,142.82,143.2,141.5,142.32,218700,141.73
2014-01-20,142.04,143.3,142.04,142.88,45200,142.29
2014-01-21,143.53,143.53,142.06,143.11,146800,142.52
2014-01-22,143.9,143.9,141.75,143.13,266000,142.54
2014-01-23,143.13,143.52,139.1,140.44,177100,139.86
2014-01-24,140.9,140.9,138.0,138.65,493300,138.08
2014-01-27,138.03,141.0,137.0,138.71,358200,138.13
2014-01-28,138.71,141.18,138.71,140.83,397100,140.25
2014-01-29,140.04,142.97,139.78,140.93,1237800,140.35
2014-01-30,140.93,142.29,140.0,140.13,685700,139.55
2014-01-31,142.19,142.19,138.08,140.32,205100,139.74
2014-02-03,140.32,140.32,140.32,140.32,0,139.74
2014-02-04,141.98,141.98,137.43,139.0,428700,138.42
2014-02-05,137.37,141.0,135.0,139.1,271100,138.52
2014-02-06,139.8,141.49,137.32,140.92,572000,140.34
2014-02-07,141.0,142.0,138.58,138.81,276900,138.23
2014-02-10,138.81,140.4,137.5,138.48,238500,137.91
2014-02-11,138.5,142.75,137.59,140.96,424100,140.38
2014-02-12,140.67,141.68,138.71,140.07,480100,139.49
2014-02-13,139.47,141.7,139.47,141.38,563000,140.79
2014-02-14,141.75,144.65,139.8,143.02,254300,142.43
2014-02-17,142.95,143.5,141.95,143.04,61400,142.45
2014-02-18,143.1,145.7,142.38,144.98,617200,144.38
2014-02-19,145.0,146.09,142.85,145.75,659400,145.15
2014-02-20,147.0,148.25,142.06,142.93,387700,142.34
2014-02-21,142.5,143.75,142.5,143.34,240300,142.75
2014-02-24,142.69,143.31,138.4,139.01,534800,138.43
2014-02-25,139.46,139.46,134.45,136.76,302200,136.19
2014-02-26,137.82,138.81,129.25,129.97,444700,129.43
2014-02-27,129.29,134.67,129.29,134.2,322700,133.64
2014-02-28,133.33,138.48,131.5,137.21,312100,136.64
2014-03-03,135.14,136.99,133.1,135.01,224500,134.45
2014-03-04,135.0,137.86,135.0,137.2,168100,136.63
2014-03-05,137.2,137.26,133.69,134.69,242800,134.13
2014-03-06,134.69,136.41,130.9,131.83,411100,131.28
2014-03-07,133.3,134.9,130.31,131.14,437300,130.6
2014-03-10,130.3,132.77,129.39,131.85,433500,131.3
2014-03-11,131.85,133.17,130.02,131.01,217200,130.47
2014-03-12,130.0,132.65,130.0,130.93,325300,130.39
2014-03-13,131.82,132.39,126.66,130.58,323000,130.04
2014-03-14,128.26,133.0,128.26,132.52,273000,131.97
2014-03-17,132.52,132.52,132.52,132.52,0,131.97
2014-03-18,132.52,134.2,131.1,133.36,226400,132.81
2014-03-19,133.5,135.5,131.42,132.52,272100,131.97
2014-03-20,132.62,137.36,130.1,136.83,521200,136.26
2014-03-21,136.14,143.29,135.12,142.39,884900,141.8
2014-03-24,141.86,143.99,136.07,137.58,446500,137.01
2014-03-25,137.3,140.47,136.7,137.35,199300,136.78
2014-03-26,137.0,139.49,136.1,137.36,147100,136.79
2014-03-27,137.9,140.0,137.37,139.14,320900,138.56
2014-03-28,139.76,142.0,139.76,141.58,281400,140.99
2014-03-31,141.58,143.75,140.1,142.92,400700,142.33
2014-04-01,143.9,144.0,138.75,140.49,265000,139.91
2014-04-02,143.49,143.49,139.6,141.55,878700,140.96
2014-04-03,143.0,143.0,138.5,139.95,522600,139.37
2014-04-04,140.93,141.0,138.85,140.72,389700,140.14
2014-04-07,140.69,141.77,138.51,140.95,207700,140.37
2014-04-08,141.0,143.11,140.99,142.51,494100,141.92
2014-04-09,142.8,142.8,140.01,142.37,556900,141.78
2014-04-10,143.09,143.09,138.83,141.0,409100,140.42
2014-04-11,139.57,143.15,139.51,142.76,192300,142.17
2014-04-14,141.51,143.45,139.9,140.27,857400,139.69
2014-04-15,140.0,142.0,136.11,136.97,487800,136.4
2014-04-16,137.52,138.5,136.2,136.76,304800,136.19
2014-04-17,136.76,136.76,136.76,136.76,0,136.19
2014-04-18,136.76,136.76,136.76,136.76,0,136.19
2014-04-21,136.42,138.99,136.36,137.08,119900,136.51
2014-04-22,136.71,138.09,134.5,134.72,339400,134.16
2014-04-23,134.4,135.99,133.93,134.9,253700,134.34
2014-04-24,135.57,136.03,133.2,134.34,291900,133.78
2014-04-25,134.34,136.39,132.5,132.6,184800,132.05
2014-04-28,133.5,136.98,133.5,136.09,733800,135.53
2014-04-29,136.3,136.34,135.5,136.15,341700,135.59
2014-04-30,136.35,137.15,132.6,134.73,801400,134.17
2014-05-01,134.73,134.73,134.73,134.73,0,134.17
2014-05-02,134.73,136.1,134.73,135.98,754600,135.42
2014-05-05,136.0,136.09,135.0,135.46,119000,134.9
2014-05-06,135.45,137.7,135.45,137.25,436400,136.68
2014-05-07,136.75,139.53,136.75,138.94,532200,138.36
2014-05-08,139.2,140.95,137.24,140.66,417100,140.08
2014-05-09,140.95,140.95,139.36,140.8,389400,140.22
2014-05-12,140.95,140.99,138.11,139.56,132500,138.98
2014-05-13,140.17,142.0,139.21,141.11,385600,140.52
2014-05-14,140.72,143.5,139.99,143.22,729000,142.63
2014-05-15,143.22,143.5,141.0,142.02,380700,141.43
2014-05-16,142.02,143.8,142.02,142.91,509300,142.32
2014-05-19,142.83,145.0,142.75,144.0,223100,143.4
2014-05-20,143.7,144.4,142.12,143.01,284900,142.42
2014-05-21,144.0,144.25,142.93,143.66,119600,143.06
2014-05-22,144.2,144.8,142.75,144.17,277800,143.57
2014-05-23,144.25,144.94,144.17,144.65,225400,144.05
2014-05-26,144.65,144.89,143.01,144.26,32000,143.66
2014-05-27,144.95,145.89,142.21,143.11,200300,142.52
2014-05-28,142.39,145.6,142.37,145.28,308500,144.68
2014-05-29,145.4,146.82,144.01,146.47,241100,145.86
2014-05-30,145.5,148.88,143.65,145.31,459600,144.71
2014-06-02,145.3,148.0,143.0,145.26,185700,144.66
2014-06-03,145.05,148.48,145.05,147.86,185400,147.25
2014-06-04,146.04,148.05,146.0,146.27,363800,145.66
2014-06-05,146.3,147.63,146.0,146.77,195700,146.16
2014-06-06,146.03,148.54,146.03,147.64,277900,147.03
2014-06-09,148.8,149.0,147.0,147.39,270800,146.78
2014-06-10,147.02,152.74,147.02,151.59,379400,150.96
2014-06-11,152.11,154.0,150.5,152.7,407900,152.07
2014-06-12,152.49,153.0,150.13,151.6,142100,150.97
2014-06-13,152.26,154.54,150.5,151.61,346900,150.98
2014-06-16,151.61,156.75,151.61,156.54,341000,155.89
2014-06-17,156.55,156.9,153.5,153.84,215500,153.2
2014-06-18,153.55,156.48,151.99,155.12,326400,154.48
2014-06-19,154.32,155.12,152.01,153.62,327500,152.98
2014-06-20,154.39,156.7,154.39,156.68,1567000,156.03
2014-06-23,156.9,157.89,156.9,157.4,202000,156.75
2014-06-24,157.49,157.7,154.4,156.59,151100,155.94
2014-06-25,156.6,157.0,152.42,152.72,202200,152.09
2014-06-26,154.15,155.0,152.4,152.48,200200,151.85
2014-06-27,153.06,155.0,152.5,152.99,291200,152.36
2014-06-30,154.5,154.99,149.0,153.61,514300,152.97
2014-07-01,153.0,154.37,151.5,153.11,190700,152.48
2014-07-02,153.9,153.9,152.0,152.86,213600,152.23
