Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,35.5,35.5,35.5,35.5,0,33.17082
2014-01-02,35.4,35.4,34.65,34.79,2721400,32.50741
2014-01-03,34.79,35.4,34.57,34.69,3194100,32.41397
2014-01-06,35.05,35.05,34.14,34.22,2225700,31.974809999999998
2014-01-07,34.44,34.84,34.21,34.76,2444800,32.47937
2014-01-08,34.58,34.97,34.35,34.67,2141900,32.39528
2014-01-09,34.8,34.8,33.87,33.99,2513100,31.7599
2014-01-10,34.05,34.14,33.57,33.7,4965500,31.48892
2014-01-13,34.19,34.19,32.55,33.56,9108900,31.358109999999996
2014-01-14,33.4,33.61,33.18,33.4,2496800,31.208609999999997
2014-01-15,33.56,34.86,33.34,34.52,3685900,32.25512
2014-01-16,34.45,34.61,33.98,34.23,3558500,31.98415
2014-01-17,34.57,34.57,33.8,34.12,1790000,31.88137
2014-01-20,34.19,34.19,33.71,33.98,283600,31.75055
2014-01-21,34.1,34.43,33.6,33.73,2227000,31.51695
2014-01-22,34.08,34.22,33.35,33.97,3518500,31.74121
2014-01-23,34.4,34.4,33.35,33.66,4144700,31.45155
2014-01-24,33.36,33.66,32.29,32.81,8284000,30.657320000000002
2014-01-27,32.97,32.97,31.72,32.2,10789000,30.08734
2014-01-28,32.48,32.64,32.07,32.15,9645900,30.04062
2014-01-29,32.02,32.92,31.85,32.25,7834600,30.134059999999998
2014-01-30,32.39,33.3,32.1,33.07,9961000,30.90026
2014-01-31,32.79,32.79,29.18,29.96,24969600,27.99431
2014-02-03,29.96,29.96,29.96,29.96,0,27.99431
2014-02-04,29.6,29.6,27.78,27.95,15914600,26.11618
2014-02-05,28.19,28.4,27.57,27.8,6237000,25.976020000000002
2014-02-06,27.68,27.97,27.31,27.88,7210900,26.05078
2014-02-07,27.82,28.24,27.55,27.97,3884800,26.134870000000003
2014-02-10,27.99,27.99,27.15,27.34,3271800,25.546210000000002
2014-02-11,27.6,28.94,27.38,28.67,8865700,26.788940000000004
2014-02-12,28.7,29.0,27.66,28.73,7078400,26.84501
2014-02-13,28.7,29.0,28.29,28.52,3949900,26.64879
2014-02-14,28.35,29.0,28.25,28.82,4147000,26.9291
2014-02-17,29.07,29.07,28.62,28.77,995100,26.882379999999998
2014-02-18,29.0,29.26,28.77,29.17,4123100,27.256140000000002
2014-02-19,29.15,29.59,29.15,29.54,4005100,27.60186
2014-02-20,29.35,29.68,29.35,29.43,2588900,27.49908
2014-02-21,29.28,29.75,29.28,29.7,1543700,27.75137
2014-02-24,29.95,30.05,29.64,29.98,4488800,28.012990000000002
2014-02-25,30.2,30.2,29.38,29.49,5594800,27.55514
2014-02-26,29.99,29.99,29.1,29.31,4762400,27.38695
2014-02-27,29.19,29.4,28.94,29.01,3802000,27.106640000000002
2014-02-28,29.12,29.35,29.03,29.24,3497100,27.32155
2014-03-03,29.2,29.2,28.58,28.81,2126900,26.919759999999997
2014-03-04,29.0,29.86,28.84,29.26,2560400,27.34023
2014-03-05,29.5,29.5,28.79,28.92,2689900,27.022540000000003
2014-03-06,29.47,30.24,28.62,29.93,4030500,27.966279999999998
2014-03-07,30.0,30.68,29.73,29.96,3603300,27.99431
2014-03-10,29.76,29.94,29.18,29.45,2145600,27.517770000000002
2014-03-11,29.44,29.89,29.37,29.74,1860800,27.78874
2014-03-12,29.8,29.8,28.84,28.98,4678100,27.0786
2014-03-13,28.95,29.21,27.31,27.62,5240200,25.80784
