Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,40.2,40.2,40.2,40.2,0,40.0094
2014-01-02,40.0,40.35,38.69,38.96,1465300,38.7753
2014-01-03,39.0,39.03,38.11,38.59,2105700,38.407
2014-01-06,38.6,39.18,38.5,38.63,1915300,38.4468
2014-01-07,38.5,38.73,38.02,38.19,2398300,38.0089
2014-01-08,38.01,38.33,37.0,37.05,5156400,36.8743
2014-01-09,37.24,37.47,36.18,36.26,4541600,36.0881
2014-01-10,36.47,37.08,36.3,36.68,4522300,36.5061
2014-01-13,36.79,37.05,36.41,36.66,2285400,36.4862
2014-01-14,36.7,36.98,36.51,36.85,1635600,36.6753
2014-01-15,37.0,37.28,36.76,36.93,2612400,36.7549
2014-01-16,36.93,37.04,36.4,36.96,1617700,36.7848
2014-01-17,36.8,36.8,36.02,36.16,3318900,35.9886
2014-01-20,36.1,36.38,36.1,36.26,380900,36.0881
2014-01-21,36.24,36.49,35.0,35.21,2998700,35.0431
2014-01-22,35.25,35.57,34.42,34.79,5520300,34.6251
2014-01-23,34.79,35.0,34.4,34.77,5858100,34.6051
2014-01-24,34.5,34.85,33.65,34.57,7894500,34.4061
2014-01-27,34.74,35.56,33.8,35.28,2964000,35.1127
2014-01-28,35.29,35.29,34.05,34.31,3381600,34.1473
2014-01-29,34.16,34.68,33.85,34.12,1931300,33.9582
2014-01-30,34.77,35.5,34.24,35.45,2704700,35.2819
2014-01-31,35.26,35.69,34.8,35.53,2820600,35.3615
2014-02-03,35.53,35.53,35.53,35.53,0,35.3615
2014-02-04,34.61,35.35,34.4,34.53,2437900,34.3663
2014-02-05,34.48,35.42,34.11,34.62,1719700,34.4559
2014-02-06,35.4,35.7,34.81,35.3,3704200,35.1326
2014-02-07,35.4,35.7,35.25,35.4,2092300,35.2322
2014-02-10,35.51,35.51,34.21,34.28,1441200,34.1175
2014-02-11,34.21,35.37,34.21,35.17,3504700,35.0033
2014-02-12,35.22,35.7,34.62,35.5,2855000,35.3317
2014-02-13,35.01,35.2,34.62,35.04,3854500,34.8739
2014-02-14,35.21,36.1,34.65,35.75,2509300,35.5805
2014-02-17,35.8,36.07,35.6,35.77,269400,35.6004
2014-02-18,35.77,35.83,34.85,34.99,1203400,34.8241
2014-02-19,34.82,35.13,34.1,34.34,1598300,34.1772
