Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,91.36,91.36,91.36,91.36,0,87.1285
2014-01-02,91.35,94.35,90.64,91.38,8798700,87.1475
2014-01-03,91.38,93.0,91.21,92.25,3984600,87.9772
2014-01-06,92.25,92.42,90.3,90.61,4491200,86.4132
2014-01-07,90.5,91.59,90.21,90.94,2629300,86.7279
2014-01-08,90.41,91.8,89.02,90.09,3596400,85.9173
2014-01-09,90.0,91.29,89.61,90.94,5545100,86.7279
2014-01-10,91.35,93.79,90.51,93.37,6240800,89.0454
2014-01-13,92.61,97.0,92.61,94.3,11693600,89.9323
2014-01-14,94.01,95.49,93.01,94.06,3160700,89.7034
2014-01-15,93.65,94.48,91.71,91.93,7444800,87.6721
2014-01-16,92.12,92.4,90.99,91.17,3708000,86.9473
2014-01-17,91.21,91.87,90.0,90.2,3480400,86.0222
2014-01-20,90.98,91.28,90.2,91.03,607700,87.0031
2014-01-21,91.79,91.79,89.31,89.62,5581300,85.6555
2014-01-22,89.99,90.49,88.81,90.1,6848400,86.1142
2014-01-23,90.49,90.5,89.2,90.23,6101400,86.2385
2014-01-24,90.49,90.49,87.5,89.01,10272400,85.0725
2014-01-27,89.51,89.51,86.13,88.02,6499100,84.1262
2014-01-28,87.71,89.96,87.25,87.44,5677400,83.5719
2014-01-29,87.12,88.89,87.01,88.28,5464400,84.3747
2014-01-30,87.96,88.76,87.1,87.28,5556300,83.419
2014-01-31,87.0,87.0,84.2,84.42,14345900,80.6855
2014-02-03,84.42,84.42,84.42,84.42,0,80.6855
2014-02-04,83.9,83.98,80.8,81.23,8838100,77.6366
2014-02-05,81.3,85.01,80.51,83.11,15618600,79.4335
2014-02-06,83.53,84.79,83.11,83.79,8452900,80.0834
2014-02-07,83.89,86.22,83.2,85.78,5576300,81.9853
2014-02-10,85.99,86.0,84.62,84.94,5265700,81.1825
2014-02-11,84.65,87.66,84.65,87.12,7198000,83.2661
2014-02-12,87.12,87.46,85.97,86.66,3993700,82.8264
2014-02-13,86.1,86.17,85.01,85.43,4370100,81.6508
2014-02-14,85.15,86.99,85.01,86.78,2940900,82.9411
2014-02-17,86.89,86.89,85.7,86.19,1188400,82.3772
2014-02-18,85.72,87.5,85.72,86.88,6869600,83.0367
2014-02-19,86.81,87.61,86.28,87.33,9136300,83.4668
2014-02-20,87.01,88.07,86.81,87.24,3560500,83.3808
2014-02-21,87.02,87.71,86.91,87.24,12300600,83.3808
2014-02-24,87.0,88.51,87.0,87.7,7416200,83.8204
2014-02-25,87.88,88.39,84.8,85.22,4873200,81.4501
2014-02-26,85.59,85.89,81.8,82.57,4163200,78.9173
2014-02-27,82.57,85.66,82.48,84.15,6216400,80.4275
2014-02-28,85.49,86.51,84.66,86.03,5064900,82.2243
2014-03-03,85.45,85.79,84.12,85.22,3683300,81.4501
2014-03-04,85.65,87.15,85.38,86.97,2528200,83.1227
2014-03-05,87.06,87.73,85.0,85.4,4911300,81.6222
2014-03-06,85.6,86.24,83.61,83.8,6825000,80.0929
2014-03-07,84.14,84.48,83.01,83.58,3949600,79.8827
2014-03-10,83.46,83.8,80.91,81.22,8194800,77.6271
2014-03-11,81.3,82.59,81.0,81.71,7339200,78.0954
2014-03-12,82.13,82.95,80.91,81.91,10512700,78.2865
2014-03-13,81.8,83.31,80.31,81.45,12159000,77.8469
2014-03-14,81.45,81.74,80.32,80.58,5872400,77.0154
2014-03-17,80.58,80.58,80.58,80.58,0,77.0154
2014-03-18,80.87,83.59,80.6,83.1,11015800,79.4239
2014-03-19,83.1,84.39,81.4,81.58,10528500,77.9711
2014-03-20,82.0,82.79,80.92,81.91,7682100,78.2865
2014-03-21,82.32,84.95,81.76,84.26,15282500,80.5326
2014-03-24,84.9,85.39,82.51,82.87,5730600,79.2041
2014-03-25,83.04,84.4,82.26,83.24,7656600,79.5577
2014-03-26,83.71,84.47,82.92,84.29,4884900,80.5613
2014-03-27,84.41,85.0,83.66,84.78,3835500,81.0296
2014-03-28,84.95,86.29,84.95,85.98,3665200,82.1765
2014-03-31,86.07,88.29,86.07,87.83,8928700,83.9447
2014-04-01,87.83,88.89,85.3,85.67,6788700,81.8802
2014-04-02,85.99,87.09,85.31,86.49,6768600,82.6639
2014-04-03,86.88,86.88,83.8,84.83,5706200,81.0774
2014-04-04,85.17,85.87,84.02,84.75,6413600,81.0009
2014-04-07,84.73,85.85,84.19,85.62,3968900,81.8324
2014-04-08,85.31,86.25,85.16,85.8,8405300,82.0045
2014-04-09,85.8,85.99,84.41,84.54,4094400,80.8002
2014-04-10,85.49,85.49,83.01,83.52,4717200,79.8253
2014-04-11,83.2,84.49,81.0,83.7,5095300,79.9974
2014-04-14,83.7,85.39,83.52,85.15,3085100,81.3832
2014-04-15,85.1,85.36,84.01,85.01,3681700,81.2494
2014-04-16,85.75,86.7,84.57,86.03,8871100,82.4146
2014-04-17,86.03,86.03,86.03,86.03,0,82.4146
2014-04-18,86.03,86.03,86.03,86.03,0,82.4146
2014-04-21,86.03,86.5,85.5,85.98,4790400,82.3667
2014-04-22,86.09,86.4,85.65,86.13,3478900,82.5104
