Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,46.47,46.47,46.47,46.47,0,44.45
2014-01-02,46.07,47.7,46.05,46.34,25900,44.33
2014-01-03,46.86,47.52,46.34,47.07,50000,45.02
2014-01-06,47.67,48.08,47.28,47.46,80500,45.4
2014-01-07,47.5,48.07,47.06,47.33,185900,45.27
2014-01-08,47.35,47.45,47.05,47.24,68100,45.19
2014-01-09,47.37,47.47,46.4,46.48,466300,44.46
2014-01-10,47.25,47.5,46.51,47.5,212300,45.44
2014-01-13,47.5,47.5,47.25,47.5,33200,45.44
2014-01-14,47.5,47.55,46.75,47.13,131500,45.08
2014-01-15,47.13,47.55,47.0,47.46,16900,45.4
2014-01-16,47.25,47.45,46.0,46.91,657200,44.87
2014-01-17,47.0,47.0,45.0,46.29,2329100,44.28
2014-01-20,47.0,47.0,46.0,46.0,209300,44.0
2014-01-21,46.01,46.72,44.48,45.8,131100,43.81
2014-01-22,45.8,46.48,45.8,46.15,97200,44.14
2014-01-23,45.95,45.95,45.4,45.84,31600,43.85
2014-01-24,45.93,45.93,43.05,44.44,264900,42.51
2014-01-27,44.0,44.0,42.84,43.41,98300,41.52
2014-01-28,43.5,44.15,42.9,43.07,357700,41.2
2014-01-29,43.21,43.21,42.03,42.23,244300,40.39
2014-01-30,42.65,43.0,42.09,42.16,98500,40.33
2014-01-31,42.27,42.27,41.51,41.91,43700,40.09
2014-02-03,41.91,41.91,41.91,41.91,0,40.09
2014-02-04,41.71,42.0,40.51,40.77,162700,39.0
2014-02-05,40.8,40.8,39.5,39.61,191200,37.89
2014-02-06,39.57,40.69,39.38,39.4,726000,37.69
2014-02-07,39.36,39.59,39.01,39.29,383700,37.58
2014-02-10,39.29,39.45,39.04,39.38,84000,37.67
2014-02-11,39.4,40.49,39.28,39.79,211600,38.06
2014-02-12,39.95,40.62,39.05,39.29,112600,37.58
2014-02-13,39.05,39.99,39.05,39.55,1324200,37.83
2014-02-14,39.75,40.5,39.75,39.98,213700,38.24
2014-02-17,40.0,40.59,39.95,40.0,232200,38.26
2014-02-18,40.31,40.45,39.9,40.19,350700,38.44
2014-02-19,40.1,40.1,39.19,40.02,308600,38.28
2014-02-20,39.8,40.0,39.52,39.85,65200,38.12
2014-02-21,39.5,40.0,39.5,39.64,408500,37.92
2014-02-24,39.86,39.86,37.2,38.12,2150200,36.46
2014-02-25,38.28,38.28,37.25,37.4,143400,35.77
2014-02-26,37.7,37.7,35.7,36.6,966500,35.01
2014-02-27,36.59,36.64,36.1,36.15,314100,34.58
2014-02-28,36.4,36.7,34.7,34.83,629200,33.32
2014-03-03,34.73,35.29,33.23,34.68,1309000,33.17
2014-03-04,34.62,35.3,34.52,35.19,495400,33.66
